Business ID,Business State,Total Long-term Debt,Total Equity,Debt to Equity,Total Liabilities,Total Revenue,Profit Margin
9255282013,New York,4671000,28086000,0.166310617,24282000,58634000,0.252038067
9280542013,Texas,35690000,249752000,0.142901759,125829000,371065000,0.418694838
9284652013,Nebraska,18919000,55640899,0.340019668,50734000,1211052634,0.382937637
9315842013,Pennsylvania,86796000,196458000,0.441804355,151466000,180768000,0.154784033
9323722013,California,21560000,-15691000,-1.374036072,30048000,37782000,0.505955217
9440752013,California,36000,133035,0.27060548,7969000,15661305,0.416523719
9445082013,Arizona,65088000,59153000,1.100333035,110938000,215580000,0.20690231
10002302013,Virginia,9997000,29559899,0.33819466,15855000,75266038,0.370592617
10006832013,New Jersey,3893000,15028000,0.259049774,7613000,27870000,0.381234302
10011152013,Texas,931000,289058000,0.003220807,38167000,300607000,0.505610315
10013852013,Washington,94241000,261850000,0.359904525,171609000,359445000,-0.140085409
10016142013,Colorado,3375000,32925000,0.102505695,6787000,15700000,0.655796178
10098912013,New York,2527000,21613000,0.116920372,28559000,62833000,0.288208426
10147392013,Colorado,375322000,354583000,1.058488422,582275000,696473000,0.200505978
10162812013,Texas,236098000,155973000,1.513710706,590626000,213074000,0.325806997
10176732013,Delaware,14820000,48379000,0.306331259,39765000,46180000,0.265915981
10192722013,New Jersey,10632000,44769000,0.23748576,171051000,482683000,0.045307168
10212702013,MInnesota,18925000,32791000,0.577140069,42546000,137282000,0.120343526
10266552013,Ohio,2429000,67448000,0.036012928,29673000,144125000,0.196752819
10297442013,Wisconsin,282000,10704000,0.026345291,13629000,27756000,0.765456118
10382772013,Idaho,4911000,4846014,1.013410197,7162000,6849150,0.43525839
10421872013,Illinois,9058000,12763500,0.709679947,26308000,56059477,0.259072645
10435092013,North Carolina,730157000,613639000,1.189880369,2437531000,8843168000,0.147187863
10595622013,Missouri,285369000,144144000,1.979749417,335907000,412557000,0.249466134
10695332013,Virginia,13000000,49502701,0.262611933,75024000,63205666,0.209912605
10716252013,Massachusetts,7134000,16284622,0.438082014,19589000,93842796,0.404365573
10919832013,Utah,2010000,-3602481,-0.557948814,6302000,17757388,0.732562019
10930822013,Missouri,60800000,23400000,2.598290598,128100000,561500000,0.20284951
11013962013,South Carolina,94763000,141066000,0.671763572,170844000,490523000,0.239587135
11036012013,Washington D.C.,524067000,1302718000,0.402287371,2957342000,2466138000,0.108641122
11068382013,North Carolina,921000,11238606,0.081949665,8849000,8247487,0.037282508
11084262013,New Mexico,1670420000,1762127000,0.947956646,3738083000,1387923000,0.326907905
11209702013,Nevada,5232000,20243996,0.258446998,23756000,24826587,0.081992221
11233162013,Connecticut,18512000,4399091,4.208142091,33874000,70980512,0.559851019
11245242013,California,556000,-2063203,-0.269483904,3819000,1100539,-0.084922933
11402152013,California,2735000,3387000,0.807499262,11362000,37281000,0.301467235
11403102013,Wisconsin,2396000,6126073,0.391115156,6997000,7723699,0.185493894
12233892013,Texas,262531000,474450000,0.553337549,435407000,865032000,0.477828566
12322412013,Wisconsin,190817000,250087000,0.763002475,345931000,397267000,0.505813471
12751582013,Colorado,6312000,124473000,0.050709792,63329000,350924000,0.215833058
12826482013,Texas,3183823000,1447610000,2.199365161,3908881000,999506000,-0.394276773
12942502013,New Jersey,139760000,72418000,1.929906929,198420000,156638000,0.237094447
13115382013,New York,9209000,12910095,0.713317756,20207000,41442994,0.489443258
13147722013,Rhode Island,51045000,27490000,1.856857039,87877000,208173000,0.312273926
13175772013,North Carolina,221000000,241835000,0.913846217,381939000,918691000,0.205343255
13239742013,Idaho,16000,426319000,3.75306E-05,376236000,2347485000,0.129653651
13262052013,Maryland,1800000,14973593,0.120211629,4279000,8030016,0.190910703
13370132013,Michigan,21609000,42723000,0.505793133,34650000,62280000,0.783461785
13424232013,California,61563000,110653000,0.556360876,99261000,84884000,0.231386363
13608862013,Maryland,117000,80949000,0.001445354,11148000,24308000,-0.092397565
13651012013,North Carolina,22654000,31556000,0.717898339,39415000,91209000,0.250435812
13752052013,Colorado,34000000,38664000,0.879370991,66672000,7616000,0.53335084
13789502013,California,9502000,20866000,0.455381961,48316000,254753000,0.290999517
13865702013,California,280000,5665892,0.049418521,3321000,10160964,0.334905625
14214612013,Colorado,150000000,933971000,0.160604558,241302000,336312000,0.409497728
14249292013,California,8000000,92292000,0.086681403,65437000,272746000,0.302515894
14350642013,New York,1108000,1130776,0.97985808,1743000,13673531,0.084508603
14422362013,Texas,17376000,53980543,0.321893761,46666000,67504540,0.0751585
14497922013,New Jersey,7205000,30792000,0.233989348,23069000,88162000,0.264569769
14535932013,Montana,16459000,-3842372,-4.283551931,32720000,33073414,0.582444074
14639722013,New York,187000,-13037879,-0.014342824,15900000,2389053,0.300978254
14665932013,MInnesota,389589000,534830000,0.728435204,1061189000,743414000,0.00919676
14733342013,California,6602000,38728706,0.170467869,21838000,78356493,0.213007147
14871012013,Maryland,56000000,281331000,0.199053784,147618000,298732000,0.353229651
14889172013,MInnesota,1332000,13926827,0.095642748,3629000,15104422,0.727563226
15456542013,Hawaii,605500000,1173200000,0.516109785,1110400000,365200000,0.348849945
15528002013,MInnesota,92807000,78736000,1.178711136,162906000,229564000,0.762859159
